student_id,first_name,last_name,grade_level,teacher_name,classroom,place_value_mastery,addition_mastery,regrouping_mastery,skill_gap,student_category
STU002,Hannah,Anderson,2,Ms. Rodriguez,2A,68,75,16.67,51.33,Needs Both
STU004,Julian,Anderson,2,Ms. Rodriguez,2A,96,66.67,50,46,Target Group
STU005,Naomi,Hall,2,Mr. Chen,2B,84,91.67,88.89,-4.89,Proficient
STU006,Eva,Moore,2,Mr. Chen,2B,40,41.67,16.67,23.33,Needs Both
STU007,Emilia,Ramirez,2,Mr. Chen,2B,80,75,33.33,46.67,Target Group
STU008,Stella,Miller,2,Mr. Chen,2B,96,50,50,46,Target Group
STU009,Paisley,Hill,2,Ms. Rodriguez,2A,92,66.67,33.33,58.67,Target Group
STU010,Adam,Davis,3,Mr. Thompson,3C,44,33.33,27.78,16.22,Needs Both
STU011,Jaxson,Jackson,3,Ms. Patel,3B,88,58.33,61.11,26.89,Target Group
STU013,Audrey,Garcia,4,Mrs. Williams,4A,84,100,72.22,11.78,Target Group
STU014,Landon,Moore,4,Mr. Davis,4B,100,83.33,27.78,72.22,Target Group
STU015,Dylan,White,4,Mrs. Williams,4A,96,91.67,27.78,68.22,Target Group
STU016,Kayden,Baker,3,Mr. Thompson,3C,100,91.67,38.89,61.11,Target Group
STU017,Ivy,Campbell,3,Ms. Patel,3B,88,100,88.89,-0.89,Proficient
STU018,Ryan,Green,2,Mr. Chen,2B,84,58.33,27.78,56.22,Target Group
STU019,Amelia,Anderson,4,Mr. Davis,4B,96,91.67,72.22,23.78,Target Group
STU021,Addison,Adams,4,Mr. Davis,4B,96,83.33,61.11,34.89,Target Group
STU022,Chloe,Taylor,4,Mr. Davis,4B,96,100,83.33,12.67,Proficient
STU023,Carson,Ramirez,3,Mrs. Johnson,3A,72,58.33,55.56,16.44,Needs Both
STU024,Layla,Rodriguez,2,Mr. Chen,2B,92,100,66.67,25.33,Target Group
STU025,Avery,Martinez,4,Mr. Davis,4B,96,83.33,100,-4,Proficient
STU026,Luna,Jones,3,Ms. Patel,3B,84,58.33,33.33,50.67,Target Group
STU027,Ian,Taylor,4,Mrs. Williams,4A,88,75,22.22,65.78,Target Group
STU028,Willow,Campbell,3,Ms. Patel,3B,96,66.67,44.44,51.56,Target Group
STU029,Madeline,Perez,3,Mrs. Johnson,3A,16,66.67,33.33,-17.33,Needs Both
STU030,Kennedy,Smith,4,Mr. Davis,4B,88,100,94.44,-6.44,Proficient
STU031,Serenity,Carter,2,Ms. Rodriguez,2A,80,83.33,50,30,Target Group
STU032,Parker,Allen,2,Mr. Chen,2B,96,100,83.33,12.67,Proficient
STU033,Dylan,Wright,3,Mrs. Johnson,3A,96,91.67,66.67,29.33,Target Group
STU034,Maverick,Lee,2,Mr. Chen,2B,92,83.33,22.22,69.78,Target Group
STU036,Michael,Campbell,2,Ms. Rodriguez,2A,88,83.33,22.22,65.78,Target Group
STU037,Scarlett,Nelson,3,Mr. Thompson,3C,88,91.67,38.89,49.11,Target Group
STU038,Mateo,King,3,Ms. Patel,3B,44,50,55.56,-11.56,Needs Both
STU039,Bella,Carter,2,Mr. Chen,2B,88,91.67,55.56,32.44,Target Group
STU040,Aaliyah,Nelson,3,Mr. Thompson,3C,80,41.67,44.44,35.56,Target Group
STU041,Ella,Thomas,3,Mrs. Johnson,3A,84,91.67,61.11,22.89,Target Group
STU042,Eva,Scott,2,Mr. Chen,2B,100,83.33,94.44,5.56,Proficient
STU043,Evelyn,Rivera,2,Mr. Chen,2B,96,91.67,66.67,29.33,Target Group
STU045,Jaxon,Nelson,3,Mrs. Johnson,3A,72,58.33,55.56,16.44,Needs Both
STU046,Sophie,Torres,4,Mrs. Williams,4A,92,66.67,38.89,53.11,Target Group
STU047,Ariana,Gonzalez,4,Mrs. Williams,4A,40,58.33,11.11,28.89,Needs Both
STU048,Violet,Ramirez,4,Mr. Davis,4B,80,91.67,66.67,13.33,Target Group
STU049,Sadie,Adams,2,Mr. Chen,2B,80,66.67,33.33,46.67,Target Group
STU050,Cameron,Campbell,4,Mr. Davis,4B,92,66.67,55.56,36.44,Target Group
STU051,Andrew,Gonzalez,3,Mrs. Johnson,3A,100,91.67,16.67,83.33,Target Group
STU052,Sarah,Lopez,2,Ms. Rodriguez,2A,88,66.67,66.67,21.33,Target Group
STU053,Robert,Scott,4,Mrs. Williams,4A,88,83.33,38.89,49.11,Target Group
STU054,Daniel,Carter,2,Mr. Chen,2B,80,75,27.78,52.22,Target Group
STU055,Isabelle,Walker,3,Ms. Patel,3B,84,66.67,44.44,39.56,Target Group
STU057,Mateo,Robinson,4,Mr. Davis,4B,80,100,77.78,2.22,Proficient
STU058,Owen,Gonzalez,2,Mr. Chen,2B,88,83.33,38.89,49.11,Target Group
STU060,Serenity,King,3,Mr. Thompson,3C,96,91.67,94.44,1.56,Proficient
STU061,Anthony,Jones,4,Mr. Davis,4B,76,66.67,77.78,-1.78,Other
STU062,Cameron,Davis,3,Ms. Patel,3B,84,41.67,50,34,Target Group
STU064,Theodore,Nelson,3,Ms. Patel,3B,76,83.33,88.89,-12.89,Other
STU065,Zoe,Wilson,3,Mr. Thompson,3C,52,58.33,22.22,29.78,Needs Both
STU066,Mateo,Sanchez,4,Mr. Davis,4B,76,66.67,55.56,20.44,Needs Both
STU067,Nolan,Lee,2,Ms. Rodriguez,2A,84,100,44.44,39.56,Target Group
STU068,Nolan,Flores,2,Ms. Rodriguez,2A,92,83.33,27.78,64.22,Target Group
STU069,Adam,Wilson,2,Mr. Chen,2B,92,66.67,38.89,53.11,Target Group
STU071,Elias,Rivera,4,Mr. Davis,4B,60,75,66.67,-6.67,Needs Both
STU072,Delilah,Scott,4,Mrs. Williams,4A,84,91.67,44.44,39.56,Target Group
STU073,Grace,Taylor,2,Ms. Rodriguez,2A,88,83.33,83.33,4.67,Proficient
STU074,Ryan,Jackson,4,Mr. Davis,4B,40,25,27.78,12.22,Needs Both
STU075,Lillian,Baker,3,Ms. Patel,3B,80,91.67,66.67,13.33,Target Group
STU076,Brooklyn,Brown,3,Ms. Patel,3B,96,100,55.56,40.44,Target Group
STU078,Dylan,Mitchell,4,Mrs. Williams,4A,44,41.67,27.78,16.22,Needs Both
STU079,Greyson,Smith,4,Mr. Davis,4B,72,83.33,44.44,27.56,Needs Both
STU080,Elias,Williams,3,Mr. Thompson,3C,60,75,61.11,-1.11,Needs Both
STU082,Mia,Thompson,2,Ms. Rodriguez,2A,80,75,61.11,18.89,Target Group
STU083,Violet,Roberts,4,Mr. Davis,4B,80,91.67,83.33,-3.33,Proficient
STU084,Jade,Mitchell,2,Mr. Chen,2B,84,66.67,38.89,45.11,Target Group
STU086,Leo,Nelson,4,Mrs. Williams,4A,68,83.33,61.11,6.89,Needs Both
STU087,Nora,Hernandez,2,Ms. Rodriguez,2A,60,66.67,44.44,15.56,Needs Both
STU088,William,Walker,4,Mr. Davis,4B,88,83.33,77.78,10.22,Proficient
STU089,Hunter,Martin,4,Mrs. Williams,4A,92,100,66.67,25.33,Target Group
STU090,Levi,Johnson,3,Mrs. Johnson,3A,88,83.33,50,38,Target Group
STU091,Jaxon,Jones,3,Mr. Thompson,3C,96,58.33,27.78,68.22,Target Group
STU092,Madeline,Allen,4,Mr. Davis,4B,96,100,100,-4,Proficient
STU093,Mason,Davis,3,Ms. Patel,3B,100,100,66.67,33.33,Target Group
STU095,Paisley,Campbell,3,Mrs. Johnson,3A,80,100,66.67,13.33,Target Group
STU096,Anna,Torres,2,Ms. Rodriguez,2A,92,66.67,38.89,53.11,Target Group
STU097,Emma,King,3,Ms. Patel,3B,92,91.67,72.22,19.78,Target Group
STU099,Cooper,Lee,2,Ms. Rodriguez,2A,44,41.67,16.67,27.33,Needs Both
STU100,Jordan,Martin,3,Mr. Thompson,3C,84,91.67,83.33,0.67,Proficient
STU101,Emilia,Jackson,2,Ms. Rodriguez,2A,92,100,72.22,19.78,Target Group
STU102,Delilah,Harris,2,Ms. Rodriguez,2A,88,91.67,72.22,15.78,Target Group
STU103,Cameron,Scott,3,Ms. Patel,3B,100,66.67,33.33,66.67,Target Group
STU104,Jack,Ramirez,3,Mrs. Johnson,3A,96,75,55.56,40.44,Target Group
STU105,Nicholas,Lewis,2,Ms. Rodriguez,2A,92,100,83.33,8.67,Proficient
STU106,Luke,Nelson,3,Mr. Thompson,3C,72,91.67,50,22,Needs Both
STU107,Daniel,Carter,3,Ms. Patel,3B,60,100,72.22,-12.22,Needs Both
STU109,Ezra,Flores,2,Mr. Chen,2B,92,100,83.33,8.67,Proficient
STU110,Elena,Green,4,Mrs. Williams,4A,88,83.33,38.89,49.11,Target Group
STU111,Autumn,Sanchez,4,Mr. Davis,4B,80,58.33,61.11,18.89,Target Group
STU112,Jackson,Roberts,2,Mr. Chen,2B,52,66.67,16.67,35.33,Needs Both
STU113,Charlotte,Scott,4,Mr. Davis,4B,92,50,27.78,64.22,Target Group
STU114,Kennedy,Rodriguez,4,Mr. Davis,4B,76,66.67,61.11,14.89,Needs Both
STU115,Robert,Flores,3,Mrs. Johnson,3A,80,66.67,50,30,Target Group
STU116,Melanie,Lewis,4,Mr. Davis,4B,92,100,66.67,25.33,Target Group
STU117,Easton,Taylor,4,Mr. Davis,4B,92,66.67,38.89,53.11,Target Group
STU118,Austin,Young,3,Mr. Thompson,3C,88,100,66.67,21.33,Target Group
