student_id,first_name,last_name,grade_level,enrollment_date
STU001,Parker,Davis,,2023-08-23
STU002,Hannah,Anderson,2,2023-08-17
STU003,Evan,Ramirez,,2023-08-17
STU004,Julian,Anderson,2,2023-08-21
STU005,Naomi,Hall,2,2023-08-29
STU006,Eva,Moore,2,2023-08-20
STU007,Emilia,Ramirez,2,2023-08-21
STU008,Stella,Miller,2,2023-08-26
STU009,Paisley,Hill,2,2023-08-29
STU010,Adam,Davis,3,2023-08-17
STU011,Jaxson,Jackson,3,2023-08-26
STU012,Ezekiel,Gonzalez,2,2023-08-22
STU013,Audrey,Garcia,4,2023-08-18
STU014,Landon,Moore,4,2023-08-26
STU015,Dylan,White,4,2023-08-23
STU016,Kayden,Baker,3,2023-08-20
STU017,Ivy,Campbell,3,2023-08-27
STU018,Ryan,Green,2,2023-08-25
STU019,Amelia,Anderson,4,2023-08-25
STU020,Aaliyah,Moore,,2023-08-25
STU021,Addison,Adams,4,2023-08-29
STU022,Chloe,Taylor,4,2023-08-23
STU023,Carson,Ramirez,3,2023-08-26
STU024,Layla,Rodriguez,2,2023-08-16
STU025,Avery,Martinez,4,2023-08-28
STU026,Luna,Jones,3,2023-08-29
STU027,Ian,Taylor,4,2023-08-15
STU028,Willow,Campbell,3,2023-08-23
STU029,Madeline,Perez,3,2023-08-20
STU030,Kennedy,Smith,4,2023-08-23
STU031,Serenity,Carter,2,2023-08-24
STU032,Parker,Allen,2,2023-08-26
STU033,Dylan,Wright,3,2023-08-15
STU034,Maverick,Lee,2,2023-08-26
STU035,Eleanor,Thomas,,2023-08-17
STU036,Michael,Campbell,2,2023-08-19
STU037,Scarlett,Nelson,3,2023-08-20
STU038,Mateo,King,3,2023-08-21
STU039,Bella,Carter,2,2023-08-24
STU040,Aaliyah,Nelson,3,2023-08-29
STU041,Ella,Thomas,3,2023-08-15
STU042,Eva,Scott,2,2023-08-15
STU043,Evelyn,Rivera,2,2023-08-17
STU044,Isabella,Perez,,2023-08-22
STU045,Jaxon,Nelson,3,2023-08-19
STU046,Sophie,Torres,4,2023-08-30
STU047,Ariana,Gonzalez,4,2023-08-28
STU048,Violet,Ramirez,4,2023-08-16
STU049,Sadie,Adams,2,2023-08-16
STU050,Cameron,Campbell,4,2023-08-18
STU051,Andrew,Gonzalez,3,2023-08-19
STU052,Sarah,Lopez,2,2023-08-17
STU053,Robert,Scott,4,2023-08-15
STU054,Daniel,Carter,2,2023-08-28
STU055,Isabelle,Walker,3,2023-08-16
STU056,Aria,Harris,,2023-08-27
STU057,Mateo,Robinson,4,2023-08-30
STU058,Owen,Gonzalez,2,2023-08-16
STU059,Skylar,Brown,,2023-08-30
STU060,Serenity,King,3,2023-08-17
STU061,Anthony,Jones,4,2023-08-22
STU062,Cameron,Davis,3,2023-08-22
STU063,Kaylee,Hill,,2023-08-17
STU064,Theodore,Nelson,3,2023-08-25
STU065,Zoe,Wilson,3,2023-08-22
STU066,Mateo,Sanchez,4,2023-08-24
STU067,Nolan,Lee,2,2023-08-15
STU068,Nolan,Flores,2,2023-08-17
STU069,Adam,Wilson,2,2023-08-26
STU070,Henry,Thomas,2,2023-08-29
STU071,Elias,Rivera,4,2023-08-15
STU072,Delilah,Scott,4,2023-08-18
STU073,Grace,Taylor,2,2023-08-19
STU074,Ryan,Jackson,4,2023-08-25
STU075,Lillian,Baker,3,2023-08-30
STU076,Brooklyn,Brown,3,2023-08-23
STU077,James,Smith,2,2023-08-23
STU078,Dylan,Mitchell,4,2023-08-28
STU079,Greyson,Smith,4,2023-08-19
STU080,Elias,Williams,3,2023-08-19
STU081,Mackenzie,Rodriguez,,2023-08-26
STU082,Mia,Thompson,2,2023-08-18
STU083,Violet,Roberts,4,2023-08-28
STU084,Jade,Mitchell,2,2023-08-20
STU085,Gabriel,Clark,,2023-08-25
STU086,Leo,Nelson,4,2023-08-22
STU087,Nora,Hernandez,2,2023-08-27
STU088,William,Walker,4,2023-08-29
STU089,Hunter,Martin,4,2023-08-22
STU090,Levi,Johnson,3,2023-08-25
STU091,Jaxon,Jones,3,2023-08-26
STU092,Madeline,Allen,4,2023-08-25
STU093,Mason,Davis,3,2023-08-20
STU094,Kaylee,Taylor,,2023-08-28
STU095,Paisley,Campbell,3,2023-08-18
STU096,Anna,Torres,2,2023-08-28
STU097,Emma,King,3,2023-08-21
STU098,Jonathan,Ramirez,,2023-08-25
STU099,Cooper,Lee,2,2023-08-24
STU100,Jordan,Martin,3,2023-08-27
STU101,Emilia,Jackson,2,2023-08-28
STU102,Delilah,Harris,2,2023-08-24
STU103,Cameron,Scott,3,2023-08-24
STU104,Jack,Ramirez,3,2023-08-25
STU105,Nicholas,Lewis,2,2023-08-30
STU106,Luke,Nelson,3,2023-08-25
STU107,Daniel,Carter,3,2023-08-22
STU108,Penelope,Martinez,,2023-08-22
STU109,Ezra,Flores,2,2023-08-29
STU110,Elena,Green,4,2023-08-27
STU111,Autumn,Sanchez,4,2023-08-15
STU112,Jackson,Roberts,2,2023-08-29
STU113,Charlotte,Scott,4,2023-08-18
STU114,Kennedy,Rodriguez,4,2023-08-25
STU115,Robert,Flores,3,2023-08-28
STU116,Melanie,Lewis,4,2023-08-30
STU117,Easton,Taylor,4,2023-08-23
STU118,Austin,Young,3,2023-08-29
STU119,Alexander,Rivera,3,2023-08-25
STU120,Charles,Wright,2,2023-08-22
STU121,Anna,Hall,2,2023-08-17
STU122,Elena,Clark,3,2023-08-28
STU123,Lucas,Wilson,3,2023-08-15
STU124,Ezekiel,Harris,3,2023-08-24
STU125,Adrian,Clark,4,2023-08-22
STU126,Isabelle,Anderson,3,2023-08-15
STU127,Adrian,Perez,4,2023-08-27
STU128,Aria,Robinson,3,2023-08-15
STU129,Hazel,Nguyen,2,2023-08-17
STU130,Madeline,Ramirez,3,2023-08-20
STU131,Charlotte,Taylor,2,2023-08-29
STU132,Caleb,Perez,3,2023-08-23
STU133,Theodore,Taylor,3,2023-08-15
STU134,Bella,Brown,3,2023-08-22
STU135,Naomi,Jones,4,2023-08-16
STU136,Mason,Thomas,2,2023-08-19
STU137,Joshua,Rodriguez,2,2023-08-21
STU138,Nicholas,Hall,3,2023-08-20
STU139,Bryson,Hill,4,2023-08-18
STU140,Dylan,Martin,2,2023-08-24
STU141,Ezekiel,Baker,3,2023-08-27
STU142,Penelope,Jones,4,2023-08-22
STU143,Sofia,Hall,4,2023-08-18
STU144,Ruby,Williams,3,2023-08-26
STU145,Henry,Allen,2,2023-08-28
STU146,Angel,Miller,3,2023-08-29
STU147,Owen,Ramirez,3,2023-08-23
STU148,Jace,Wright,3,2023-08-28
STU149,Evan,Moore,2,2023-08-17
STU150,Jaxon,Lewis,3,2023-08-27
STU151,Stella,Johnson,3,2023-08-20
STU152,Isabelle,Wilson,3,2023-08-25
STU153,Jaxon,Hill,3,2023-08-15
STU154,Morgan,Gonzalez,4,2023-08-28
STU155,Angel,Scott,4,2023-08-30
STU156,Roman,Rivera,4,2023-08-15
STU157,Daniel,Jackson,4,2023-08-22
STU158,Eleanor,Nelson,3,2023-08-26
STU159,Sarah,Mitchell,3,2023-08-29
STU160,Ryan,Martin,2,2023-08-21
STU161,Skylar,Davis,4,2023-08-20
STU162,Isaac,Wilson,3,2023-08-24
STU163,Matthew,Gonzalez,3,2023-08-20
STU164,Isaiah,Smith,2,2023-08-23
STU165,James,Brown,4,2023-08-19
STU166,Parker,Carter,4,2023-08-15
STU167,Sophie,Jackson,3,2023-08-25
STU168,Anthony,Brown,4,2023-08-30
STU169,Sebastian,Jones,2,2023-08-16
STU170,Victoria,Martinez,3,2023-08-17
STU171,Andrew,Davis,3,2023-08-22
STU172,Austin,Harris,3,2023-08-24
STU173,Eva,Ramirez,3,2023-08-16
STU174,Maya,Mitchell,4,2023-08-21
STU175,Gabriella,Wilson,2,2023-08-20
STU176,Joshua,Lopez,2,2023-08-15
STU177,Ariana,Lewis,3,2023-08-24
STU178,Isabella,Anderson,3,2023-08-29
STU179,Evelyn,Baker,3,2023-08-21
STU180,Sarah,Davis,4,2023-08-19
